Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,4132452,bibimorph,"2020-02-10 21:28:42",0.43100,95,"ddanevskyi,dmitriyab,kashnitsky,yaroshevskiy"
2,4018152,"Berts and the holy Grail","2020-02-10 21:55:45",0.42895,66,"christofhenkel,cpmpml,dott1718,maxjeblick,philippsinger"
3,4015049,sakami,"2020-02-10 19:51:22",0.42819,110,sakami
4,4064302,"BaBaConda & Jigsaw winners","2020-02-10 21:18:42",0.42788,125,"bolkonsky,nprokoptsev,rinnqd,rooshroosh,ryunosukeishizaki"
5,4026431,CGII,"2020-02-10 20:13:48",0.42714,58,"bestpredict,renxingkai,tianshuaifei,xiamaozi11"
6,4074053,CoolKidsOfUtrecht,"2020-02-10 16:32:34",0.42705,90,"aerdem4,jingqinnl,robin111,zhesun"
7,4139129,武汉加油！中国加油！,"2020-02-10 18:06:42",0.42578,198,"huixiongyi,pyxiea,xpz752,zaizaiya,zidaoziyan"
8,4014952,"on the way","2020-02-10 16:34:12",0.42563,272,"chenshengabc,chizhu2018,guanyuhang86,qinhui1999,zhangyang"
9,4030934,"No shake for us !!!","2020-02-10 22:00:30",0.42476,121,"ajinomoto132,murphy89"
10,4014164,"What else..","2020-02-10 19:56:21",0.42430,199,"axel81,cl2ev1,mathurinache,theoviel,titericz"
11,4211367,ConQUEST,"2020-02-10 16:10:58",0.42425,79,oohara
12,4015616,"Khoi Nguyen","2020-02-10 03:55:31",0.42305,242,suicaokhoailang
13,4014617,"Wubba lubba dub dub","2020-02-10 14:06:43",0.42278,288,"chanhu,raphael1123,seif95,serigne,xiaojiu1414"
14,4014916,"Easy Company","2020-02-10 22:09:42",0.42178,277,"akensert,datahobbit,dathudeptrai,mcggood,ratthachat"
15,4074279,jionie,"2020-02-10 21:06:15",0.42048,76,"atanasova,ivanpan,jionie,leonshangguan,seefun"
16,4016763,"what a questers?","2020-02-10 10:17:20",0.42048,181,"abhishek,atsunorifujita,pvduy23,yuval6967"
17,4032557,"CUDA out of memory","2020-02-10 18:18:12",0.41973,42,gongbi
18,4013547,flowlight,"2020-02-10 21:42:52",0.41904,75,flowlight
19,4096085,guchio3,"2020-02-10 19:03:04",0.41825,35,guchio3
20,4102542,"A.T.L.A.S. shrugged","2020-02-10 21:59:59",0.41770,171,"a763337092,acmilannesta,alaeddineayadi,del=8b9382045a3b4a3c,tereka"
21,4016328,"Kun Hao Yeh + ^..^","2020-02-10 18:24:02",0.41726,240,"arvissu,brightertiger,khyeh0719,m10515009,qbenrosb00"
22,4101058,[kaggler-ja]kurupical,"2020-02-10 14:06:18",0.41702,28,kurupical
23,4014991,"The Hand","2020-02-10 21:13:55",0.41440,77,"agatan,shuheigoda"
24,4293283,Hat,"2020-02-10 21:17:57",0.41402,49,bookerd
25,4258212,Kollegi,"2020-02-10 21:21:23",0.41398,52,"daniil271,samchd"
26,4015315,"Takamichi Toda","2020-02-10 05:30:34",0.41271,84,takamichitoda
27,4221666,seikichi,"2020-02-10 16:48:56",0.41235,32,seikichi
28,4079846,skAInet,"2020-02-10 21:20:24",0.41235,144,"chemista,del=fc30aa94728153f6,thousandvoices,yter972"
29,4261796,all2num,"2020-02-10 16:02:47",0.41229,47,"all2num,pengyan,zhewang"
30,4020723,"Mark Peng","2020-02-10 21:37:24",0.41208,36,markpeng
31,4162132,"Hope it will work","2020-02-10 16:16:42",0.41189,62,"michalgdak,tomgaava"
32,4250927,zzy&tony[angtk.ai],"2020-02-10 18:35:30",0.41145,41,"ardan1,kscp123,swsuh2003,zzyucoding"
33,4017387,chris,"2020-02-10 13:59:49",0.41134,54,"chrisrbxiong,liangpang,lizhongqiao1"
34,4301172,"Good Luck!!","2020-02-10 21:47:08",0.41123,20,bamps53
35,4018970,See--,"2020-02-10 16:15:00",0.41105,38,seesee
36,4018393,vecxoz,"2020-02-10 22:04:06",0.41082,89,vecxoz
37,4015148,Zhenlan,"2020-02-10 14:42:42",0.41069,63,zhenlanwang
38,4222070,Daizu,"2020-02-10 22:12:40",0.40923,31,daizutabi
39,4297131,DN,"2020-02-10 23:16:15",0.40901,29,dmitrynovikov
40,4223433,S.A.Y,"2020-02-10 06:24:49",0.40828,21,"hztheanswer,mialovepython,sheng327,tomprovence,yangbochen"
41,4028075,popustivshiesya,"2020-02-10 15:10:57",0.40784,38,"alexeykarnachev,darkze,del=2a6ffac68523fc62,del=5a5717cd7166802e"
42,4292626,TitanQuest,"2020-02-10 18:05:33",0.40775,149,"andrilko,churkinnikita,simakov"
43,4025621,"[Deleted] 19541019-6615-40a2-961e-8ec075b8cd42","2020-02-10 15:07:18",0.40766,60,del=393f9c1c3068a643
44,4181915,RB,"2020-02-10 18:01:36",0.40760,78,rashmibanthia
45,4295935,"The Unstoppables","2020-02-10 16:26:26",0.40743,215,"iru538,mobassir,phoenix9032,shahules,tarandro"
46,4014919,bto1,"2020-02-10 22:14:12",0.40612,99,bto1ez
47,4034555,kenmatsu4,"2020-02-10 12:54:02",0.40535,121,kenmatsu4
48,4149769,"Yuto Kojima","2020-02-10 07:37:19",0.40512,45,ykojima1989
49,4041564,"Abhimanyu Talwar","2020-02-05 02:02:41",0.40443,90,glamdring
50,4292706,"Jie Wu","2020-02-10 17:52:38",0.40426,51,"amgis3,lftuwujie"
51,4181157,Raiii,"2020-02-10 19:32:53",0.40329,31,skraiii
52,4015161,"Five Experts","2020-02-10 17:59:31",0.40321,81,"alluxia,cttsai,guozhiyu0914,misfyre,snakayama"
53,4017851,"Pavel Blinov","2020-02-10 05:41:43",0.40290,34,pavel1
54,4218689,pigzz,"2020-02-10 20:59:22",0.40180,50,"del=71bd305273592ac0,wangyijia"
55,4318804,lytang,"2020-02-10 14:27:54",0.40177,14,"fezerd,jay0606,superhandsome"
56,4288351,"Maxim Tsygankov","2020-02-10 10:15:57",0.40165,28,chubasik
57,4316924,ZSH,"2020-02-10 17:38:59",0.40145,7,"advise2009,cameronli,chenyan34,shuohuazhou,xietongxue"
58,4075886,"Holy Bert","2020-02-10 13:25:43",0.40141,107,"jacky2wong,matthewolsen"
59,4291636,"broken metric","2020-02-10 18:23:43",0.40095,48,"anordertoreclaim,nariman9119"
60,4225811,Y.Nakama,"2020-02-10 15:33:38",0.40094,33,yasufuminakama
61,4241696,statsu,"2020-02-10 18:23:16",0.40077,22,statsu
62,4317239,ericwenquan,"2020-02-10 17:33:58",0.40058,7,"dwz1994,ericwenquan,liannan2016,stricrtyy,zhanghaobrea"
63,4257142,"Chuanchao Bai","2020-02-10 15:17:31",0.40042,9,"chuanchaobai,cooool,lygeneral,oli233,songpanforward"
64,4290382,"😂 1-MODEL-ROULETTE 😂","2020-02-10 23:14:20",0.39991,10,authman
65,4025047,[kaggler-ja]leo,"2020-02-06 10:18:51",0.39985,46,bluexleoxgreen
66,4324917,yimmon,"2020-02-10 22:43:20",0.39980,12,yimmon
67,4192931,"A little bird","2020-02-10 17:17:34",0.39976,28,jiazhuang
68,4031362,xffj,"2020-02-10 09:33:08",0.39973,49,xffjlg
69,4158233,XY,"2020-02-10 09:48:39",0.39934,116,xinyan989
70,4272326,hamano_tetsuo,"2020-02-10 21:34:00",0.39918,34,hamanotetsuo
71,4033942,ONEmorph,"2020-02-10 22:02:17",0.39893,23,"abazdyrev,yakuben"
72,4096331,AbhiData,"2020-02-07 18:24:13",0.39884,41,"abhipsabasu,sd1993"
73,4073981,Grossmend,"2020-02-10 15:57:12",0.39844,28,grossmend
74,4047149,"Yuko Ishizaki","2020-02-10 16:18:30",0.39811,31,pridegoodmusic
75,4093835,NikitaGribov,"2020-02-09 08:03:45",0.39749,16,nikitagribov
76,4292390,脱Aerospace,"2020-02-10 22:26:42",0.39699,10,"irrohas,toma0916"
77,4230949,mavillan,"2020-02-10 13:44:37",0.39645,15,mavillan
78,4014360,"Yoshihiro Nishizono","2020-02-10 14:23:30",0.39597,42,ynishizono
79,4338635,"Chris Deotte","2020-02-10 22:51:36",0.39585,28,cdeotte
80,4252475,Triccheballacche,"2020-02-10 21:05:11",0.39562,30,"arthurllau,lucamassaron,pietromarinelli,steubk"
