Accuracy,F1 Yes,F1 No,Macro F1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.96,0.9655,0.9524,0.9589
0.96,0.9655,0.9524,0.9589
0.96,0.9655,0.9524,0.9589
0.96,0.9655,0.9524,0.9589
0.96,0.9677,0.9474,0.9576
0.96,0.9655,0.9524,0.9589
0.96,0.9655,0.9524,0.9589
0.92,0.9333,0.9,0.9167
0.92,0.9286,0.9091,0.9188
0.92,0.9286,0.9091,0.9188
0.92,0.9286,0.9091,0.9188
0.92,0.9286,0.9091,0.9188
0.92,0.9333,0.9,0.9167
0.92,0.9286,0.9091,0.9188
0.92,0.9286,0.9091,0.9188
0.88,0.8889,0.8696,0.8792
0.84,0.8667,0.8,0.8333
0.84,0.875,0.7778,0.8264
0.84,0.8824,0.75,0.8162
0.8,0.8571,0.6667,0.7619
0.72,0.72,0.72,0.72
0.72,0.7742,0.6316,0.7029
0.68,0.7895,0.3333,0.5614
0.6,0.75,0.5333,0.4167
0.6,0.75,0.5333,0.375
0.6,0.75,0.5333,0.375
0.6,0.75,0.5333,0.375
0.6,0.75,0.5333,0.375
0.6,0.75,0.5333,0.375
0.6,0.75,0.5333,0.375
0.6,0.75,0.5333,0.375
0.6,0.75,0.3,0.2857
0.44,0.3,0.5714,0.2857
0.4,0.76,0.5714,0.2857
0.4,0.76,0.5714,0.0385
